Kode Mata Kuliah,Nama Mata Kuliah,SKS,Semester,Dosen Pengampu
TIO1001,Teknologi Platform,3,1,"Danur Wijayanto, S.Kom., M.Cs."
TIO1002,Dasar Pemrograman,3,1,"Sadr Lufti Mufreni, S.Kom., M.Sc."
TIO1003,Struktur Diskrit,3,1,"Esi Putri Silmina, S.T., M.Cs."
TIO1004,Matematika,3,1,"Esi Putri Silmina, S.T., M.Cs."
TIO2005,Keamanan Dunia Digital,3,2,"Arizona Firdonsyah, S.Kom., M.Kom."
TIO2006,Struktur Data dan Algoritma,3,2,"Sadr Lufti Mufreni, S.Kom., M.Sc."
TIO2007,Interaksi Manusia dan Komputer,3,2,"Tikaridha Hardiani, S.Kom., M.Eng."
TIO2008,Basis Data,4,2,"Danur Wijayanto, S.Kom., M.Cs."
TIO2009,Statistika dan Probabilitas,2,2,"Esi Putri Silmina, S.T., M.Cs."
TIO3010,Pemrograman Full Stack,5,3,"Sadr Lufti Mufreni, S.Kom., M.Sc."
TIO3011,Jaringan Komputer,4,3,"Danur Wijayanto, S.Kom., M.Cs."
TIO3012,Forensika Digital,3,3,"Arizona Firdonsyah, S.Kom., M.Kom."
TIO3013,Rekayasa Perangkat Lunak,3,3,"Arizona Firdonsyah, S.Kom., M.Kom."
TIO4014,Kecerdasan Artifisial,3,4,"Esi Putri Silmina, S.T., M.Cs."
TIO4015,Integrasi Sistem,3,4,"Sadr Lufti Mufreni, S.Kom., M.Sc."
TIO4016,Isu Sosial dan Praktik Profesional,3,4,"Zahra Arwananing Tyas, S.Kom., M.Cs"
TIO4017,Manajemen Proyek Teknologi Informasi,4,4,"Zahra Arwananing Tyas, S.Kom., M.Cs"
TIO4018,Administrasi Sistem,2,4,"Danur Wijayanto, S.Kom., M.Cs."
TIO5019,Magang Industri,3,5,
TIO5020,Inovasi Kesehatan Digital,3,5,
TIO5021,Teknologi Informasi Rumah sakit,3,5,"Sadr Lufti Mufreni, S.Kom., M.Sc."
TIO5022,Internet of Things,4,5,
TIO5023,Pemrograman Perangkat Bergerak,4,5,
TIO5024,Metodologi Penelitian,3,5,
TIO6025,Sains Data,4,6,
TIO6026,Jaringan Komputer Terapan,4,6,
TIO6027,Keamanan Komputer dan Jaringan,5,6,
TIO6028,Arsitektur dan Integrasi Enterprise,4,6,"Tikaridha Hardiani, S.Kom., M.Eng."
TIO6029,Capstone Project 1,3,6,
TIO7030,Sistem dan Layanan Virtual,5,7,
TIO7031,Capstone Project 2,3,7,
TIO0033,Investigator Forensika Komputer,3,8,
TIO0034,Forensika Perangkat Bergerak,3,7,
TIO0035,Forensika Jaringan dan Awan,3,7,
TIO0036,Teknologi dan Infrastruktur Big Data,3,7,
TIO0037,Desain Aplikasi Sains Data,3,7,
TIO0038,Sistem Informasi untuk Analitik Bisnis,3,8,
UAY0001,Kemanusiaan dan Keimanan,2,1,
UAY0002,"Ibadah, Akhlak dan Muammalah",2,2,
UAY0003,Kemuhammadiyahan dan Keaisyiyahan,2,3,
UAY0004,Islam dan IPTEKS,2,4,
UAY0005,Pendidikan Pancasila dan Kewarganegaraan,3,1,
UAY0006,Bahasa Indonesia,2,1,
UAY0007,English for Daily Communication,1,1,
UAY0008,English for Academic Reading,1,2,
UAY0009,English for Academic Writing,1,3,
UAY0010,English for Academic Speaking,1,4,
UAY0011,Kewirausahaan,3,7,
UAY0012,Kuliah Kerja Nyata (KKN),3,7,
UAY0013,Skripsi,4,8,